doc_id,summary,search_summary,issue_main,issue_sub,keywords,tone,people,organizations,locations,document_category,policy_status,speech_intent,confidence,date,source_type,source,title,document_type,model,tagged_at
NEWS_00011,臺北市長蔣萬安出席李光耀世界城市獎活動，分享臺北智慧城市、兒少健康、AI治理及城市韌性治理經驗，強調以人為本和科技創新並重，並提出多項具體政策與成果。,蔣萬安分享臺北智慧城市與AI治理經驗,數位治理,"[""智慧城市"", ""AI治理"", ""兒少福利"", ""公共安全"", ""產業經濟""]","[""李光耀世界城市獎"", ""智慧城市"", ""AI作業指引"", ""兒童健康"", ""Taipei Tech Cluster""]",正向,"[""蔣萬安"", ""蔡君炫""]","[""臺北市政府"", ""李光耀世界城市獎委員會"", ""新加坡宜居城市中心"", ""NVIDIA""]","[""臺北市"", ""內湖"", ""南港"", ""士林"", ""北投"", ""臺灣"", ""新加坡""]",活動出席,不適用,宣傳,0.95,2026-06-15,市長新聞稿,臺北市政府市長新聞稿,臺北市獲頒李光耀世界城市獎特別獎 蔣萬安代表領獎、發表演講,public_statement,gpt-4.1-mini,2026-06-25T10:56:28
NEWS_00012,臺北市長蔣萬安出席2026世界城市高峰會開幕，臺北榮獲李光耀世界城市獎特別獎，促進國際城市交流與城市治理成果展示。,蔣萬安出席WCS，臺北榮獲李光耀世界城市獎特別獎,國際交流,"[""李光耀城市獎"", ""國際合作"", ""城市外交"", ""世界城市高峰會"", ""城市治理""]","[""李光耀世界城市獎"", ""世界城市高峰會"", ""蔣萬安"", ""國際交流"", ""臺北""]",正向,"[""蔣萬安"", ""黃循財"", ""劉燕玲"", ""徐芳達"", ""Anaclaudia Rossbach"", ""蔡君炫"", ""Ms Yap Lay Bee""]","[""臺北市政府"", ""李光耀世界城市獎提名委員會"", ""都市重建局"", ""新加坡政府"", ""聯合國人居署""]","[""臺北市"", ""新加坡""]",國際交流,不適用,交流,0.95,2026-06-15,市長新聞稿,臺北市政府市長新聞稿,臺北榮獲李光耀世界城市獎特別獎 蔣萬安出席WCS開幕與國際城市交流,public_statement,gpt-4.1-mini,2026-06-25T10:56:36
NEWS_00013,臺北市中正區社區心理衛生中心揭牌，副市長李泰興宣布推動一區一心中政策，擴展心理健康服務範圍及網絡。,中正區心理衛生中心揭牌，推動一區一心中政策,醫療衛生,"[""心理健康"", ""健康促進"", ""早期預防"", ""治療"", ""復健支持""]","[""社區心理衛生中心"", ""一區一心中"", ""心理健康"", ""臺北市政府""]",正向,"[""李泰興"", ""蔣萬安""]","[""臺北市政府"", ""衛生局""]","[""臺北市"", ""中正區"", ""中山區""]",政策宣布,推動中,宣布,0.95,2026-06-15,市長新聞稿,臺北市政府市長新聞稿,中正區社區心理衛生中心揭牌 副市長李泰興：邁向「一區一心中」全面守護市民心理健康,public_statement,gpt-4.1-mini,2026-06-25T10:56:41
NEWS_00014,臺北市長蔣萬安出席國際扶輪年會，感謝扶輪社員投入公共服務，強調臺北多元包容與AI發展目標，並分享獲得李光耀世界城市獎殊榮。,蔣萬安出席國際扶輪年會，強調臺北多元與AI發展。,國際交流,"[""國際合作"", ""李光耀城市獎"", ""大巨蛋"", ""AI"", ""觀光"", ""文化資產""]","[""國際扶輪年會"", ""蔣萬安"", ""李光耀世界城市獎"", ""臺北大巨蛋"", ""AI發展""]",正向,"[""蔣萬安""]","[""臺北市政府"", ""國際扶輪社"", ""NVIDIA""]","[""臺北市"", ""新加坡"", ""臺北大巨蛋""]",活動出席,不適用,感謝,0.95,2026-06-14,市長新聞稿,臺北市政府市長新聞稿,2026國際扶輪年會在臺北 蔣萬安感謝扶輪社為城市帶來溫暖與力量,public_statement,gpt-4.1-mini,2026-06-25T10:56:45
NEWS_00015,臺北市長蔣萬安率團赴新加坡領取2026李光耀城市獎特別獎，並交流市政經驗，推動未來合作。,蔣萬安率團赴新加坡領獎及交流市政。,國際交流,"[""李光耀城市獎"", ""新加坡"", ""城市外交"", ""國際合作"", ""論壇分享""]","[""李光耀城市獎"", ""新加坡出訪"", ""市政交流"", ""蔣萬安"", ""國際合作""]",正向,"[""蔣萬安"", ""沈伯洋""]","[""臺北市政府市長新聞稿"", ""臺北市政府"", ""新加坡政府""]","[""臺北市"", ""新加坡"", ""倫敦"", ""布達佩斯"", ""榜鵝數位園區"", ""新加坡國家體育場館""]",國際交流,不適用,宣傳,0.95,2026-06-14,市長新聞稿,臺北市政府市長新聞稿,臺北榮獲2026李光耀城市獎特別獎 蔣萬安率團出訪新加坡,public_statement,gpt-4.1-mini,2026-06-25T10:56:49
NEWS_00016,臺北市長蔣萬安前往南投參加巧克力咖啡節並參拜草屯宮廟，促進兩地文化觀光及產業交流，深化經濟合作。,蔣萬安南投參加巧克力咖啡節並參拜宮廟促交流,文化觀光,"[""節慶"", ""觀光"", ""文化交流"", ""農特產品"", ""產業合作""]","[""蔣萬安"", ""巧克力咖啡節"", ""南投"", ""文化觀光"", ""農特產品""]",正向,"[""蔣萬安"", ""許淑華""]","[""臺北市政府"", ""南投縣政府"", ""惠德宮"", ""敦和宮""]","[""臺北市"", ""南投縣"", ""草屯""]",活動出席,不適用,宣傳,0.95,2026-06-13,市長新聞稿,臺北市政府市長新聞稿,蔣萬安草屯參拜 祈求風調雨順並助推南投巧咖節,public_statement,gpt-4.1-mini,2026-06-25T10:56:55
NEWS_00017,蔣萬安出席龍生綜合大樓落成，宣布導入AI優化文湖線並啟動大安區學校改建、市場與社宅工程及文化設施建設。,龍生大樓落成與AI優化文湖線。,都市發展,"[""捷運"", ""社宅"", ""都市更新"", ""AI"", ""綠能"", ""文化設施""]","[""龍生綜合大樓"", ""文湖線"", ""AI模擬"", ""大安區"", ""文化地標""]",正向,"[""蔣萬安"", ""沈鳳雲""]","[""臺北市政府"", ""輝達"", ""大安區龍生區民活動中心""]","[""大安區"", ""臺北市"", ""科技大樓站""]",政策宣布,推動中,宣布,0.95,2026-06-13,市長新聞稿,臺北市政府市長新聞稿,出席龍生綜合大樓落成 蔣萬安宣布導入AI優化文湖線並啟動多項大安區建設,public_statement,gpt-4.1-mini,2026-06-25T10:57:02
NEWS_00018,第三屆水舞嘉年華在松山錫口碼頭登場，結合雙水舞秀及互動設計，促進觀光並推動淡水河岸及磺港溪親水空間建設。,松山錫口碼頭水舞嘉年華開幕，推動親水廊帶。,文化觀光,"[""觀光"", ""節慶"", ""公共建設"", ""都市更新"", ""防災""]","[""水舞嘉年華"", ""松山錫口碼頭"", ""親水廊帶"", ""淡水河岸改造"", ""磺港溪再造""]",正向,"[""蔣萬安""]","[""臺北市政府""]","[""臺北市"", ""松山"", ""淡水河岸"", ""磺港溪""]",成果宣傳,不適用,宣傳,0.95,2026-06-13,市長新聞稿,臺北市政府市長新聞稿,全臺唯一「橋面、河面」雙水舞秀登場 蔣萬安：打造國際級親水休憩廊帶,public_statement,gpt-4.1-mini,2026-06-25T10:57:06
NEWS_00019,臺北市長蔣萬安出席南投巧克力咖啡節活動，推廣在地咖啡與巧克力產業，並宣布雙方市民專屬優惠促進交流。,蔣萬安出席南投巧克力咖啡節推廣咖啡產業,文化觀光,"[""節慶"", ""觀光"", ""活動"", ""產業經濟"", ""招商""]","[""南投巧克力咖啡節"", ""蔣萬安"", ""咖啡產業"", ""文化觀光"", ""雙方合作""]",正向,"[""蔣萬安"", ""許淑華""]","[""臺北市政府"", ""南投縣政府"", ""臺北SOGO忠孝館""]","[""臺北市"", ""南投縣""]",活動出席,不適用,宣傳,0.95,2026-06-12,市長新聞稿,臺北市政府市長新聞稿,出席「2026南投巧克力咖啡節」活動 蔣萬安：呼朋引伴、攜家帶眷到南投,public_statement,gpt-4.1-mini,2026-06-25T10:57:10
NEWS_00020,臺北市長蔣萬安出席智造安穩觀摩會，提出科技降災、XR模擬訓練及高溫作業專案三大措施，強化智慧工地安全管理。,蔣萬安提三大核心推動智慧工安。,公共安全,"[""工安"", ""建築安全"", ""防災"", ""勞檢"", ""災害應變""]","[""智慧工安"", ""科技降災"", ""XR模擬訓練"", ""戶外高溫作業"", ""蔣萬安""]",正向,"[""蔣萬安"", ""尹衍樑""]","[""臺北市政府"", ""潤泰集團"", ""中央相關部會"", ""職業災害預防及重建中心""]","[""臺北市""]",政策宣布,推動中,宣布,0.95,2026-06-11,市長新聞稿,臺北市政府市長新聞稿,蔣萬安出席智造安穩觀摩會 提三大核心作為推動科技降災與智慧工安,public_statement,gpt-4.1-mini,2026-06-25T10:57:14
NEWS_00021,臺北市長蔣萬安與雲林縣長張麗善推廣雲林優質豬肉，促進跨縣市農畜產品合作，提升市民餐桌品質。,蔣萬安推動台北與雲林農畜合作,產業經濟,"[""農業轉型"", ""食品安全"", ""跨縣市合作"", ""在地農產品"", ""餐飲產業""]","[""雲林豬肉"", ""跨縣市合作"", ""錢都涮涮鍋"", ""蔣萬安"", ""張麗善""]",正向,"[""蔣萬安"", ""張麗善""]","[""臺北市政府"", ""雲林縣政府"", ""錢都日式涮涮鍋"", ""和榮意""]","[""臺北市"", ""雲林縣"", ""虎尾鎮"", ""口湖鄉""]",活動出席,不適用,宣傳,0.95,2026-06-10,市長新聞稿,臺北市政府市長新聞稿,從雲林產地到全臺餐桌！ 蔣萬安：跨縣市合作 提供市民高品質的味蕾饗宴,public_statement,gpt-4.1-mini,2026-06-25T10:57:19
NEWS_00022,臺北市長蔣萬安出席2026國鼎智慧城市論壇，強調以AI為基石推動智慧城市發展，並促進產業招商與行政效能提升。,蔣萬安論壇強調AI為臺北智慧城市基石,數位治理,"[""智慧城市"", ""AI治理"", ""數位轉型"", ""招商"", ""產業經濟""]","[""AI"", ""智慧城市"", ""招商"", ""行政效能""]",正向,"[""蔣萬安"", ""李國鼎"", ""孫運璿""]","[""臺北市政府"", ""輝達""]","[""臺北市"", ""北士科"", ""臺灣""]",活動出席,不適用,宣傳,0.95,2026-06-10,市長新聞稿,臺北市政府市長新聞稿,出席「2026國鼎智慧城市論壇」 蔣萬安：以AI為基石 打造智慧韌性臺北,public_statement,gpt-4.1-mini,2026-06-25T10:57:23
NEWS_00023,臺北市長蔣萬安宣佈擴大招募獨居長者關懷志工，推動高齡照顧政策，促進長者身心健康及社區融合，並感謝企業及基金會支持。,蔣萬安號召擴大招募獨居長者志工。,社會福利,"[""敬老福利"", ""老人照護"", ""弱勢照顧"", ""企業合作"", ""志工招募""]","[""獨居長者"", ""關懷志工"", ""高齡照顧"", ""敬老卡"", ""社區服務""]",正向,"[""蔣萬安"", ""毛卉瑜"", ""王宗易""]","[""臺北市政府"", ""禾繕基金會"", ""天麗生技國際股份有限公司""]","[""臺北市"", ""大龍老人住宅""]",政策宣布,推動中,呼籲,0.95,2026-06-10,市長新聞稿,臺北市政府市長新聞稿,「陪伴不缺席」關懷獨居長者 蔣萬安號召全民加入志工行列,public_statement,gpt-4.1-mini,2026-06-25T10:57:29
NEWS_00024,市長蔣萬安於市政總質詢最後日回應議員質詢，報告多項施政成績，強調推動都更、AI產業發展、無菸城市政策、社子島安置及交通規劃等多元議題，並承諾持續與議會合作改進施政。,蔣萬安回應質詢，報告臺北多項施政成果與未來規劃。,市政管理,"[""都更"", ""北士科"", ""AI"", ""社宅"", ""無菸城市"", ""交通工程""]","[""市政質詢"", ""AI生態"", ""都市更新"", ""社子島安置"", ""無菸政策""]",正向,"[""蔣萬安"", ""黃仁勳"", ""王瑞雲"", ""賴總統""]","[""臺北市政府"", ""輝達"", ""臺北市議會"", ""地政局"", ""工務局"", ""水利處"", ""公園處"", ""資訊局"", ""法務局"", ""警察局"", ""臺北捷運公司""]","[""臺北市"", ""北士科"", ""社子島"", ""文山區"", ""東區"", ""新庄仔陂"", ""大湖公園"", ""西門商圈"", ""中山商圈"", ""迪化商圈"", ""信義商圈"", ""士林"", ""北投"", ""大同""]",成果宣傳,不適用,宣傳,0.95,2026-06-09,市長新聞稿,臺北市政府市長新聞稿,市政總質詢最後一日 蔣萬安：臺北隊上半年交出亮眼成績單 與議會攜手持續讓臺北進步成長,public_statement,gpt-4.1-mini,2026-06-25T10:57:35
NEWS_00025,市長蔣萬安質詢中推動敬老卡擴充、生生喝鮮奶擴及國中生、毒駕加重刑責並增快篩、公車無車日免費，強化公共安全與永續發展政策。,蔣萬安宣布無車日公車免費及敬老卡升級,市政管理,"[""敬老福利"", ""公共建設"", ""交通安全"", ""建築安全"", ""環境永續""]","[""敬老卡"", ""生生喝鮮奶"", ""無車日"", ""毒駕防制"", ""社宅維護""]",正向,"[""蔣萬安"", ""簡瑟芳"", ""虞積學"", ""張溫德""]","[""臺北市政府"", ""臺北市政府市長新聞稿"", ""教育局"", ""原民會"", ""社會局"", ""警察局"", ""建管處""]","[""臺北市"", ""北投"", ""忠孝東路""]",政策宣布,規劃中,宣布,0.95,2026-06-08,市長新聞稿,臺北市政府市長新聞稿,蔣萬安總質詢拍板無車日公車免費 推動敬老卡與營養政策再升級,public_statement,gpt-4.1-mini,2026-06-25T10:57:40
NEWS_00026,蔣萬安出席金吾獎表揚優秀警察，宣布提升獎金及加成補助，強調市府落實實際行動支持警察福利與安全。,蔣萬安出席金吾獎表揚警察並宣布福利措施,公共安全,"[""治安"", ""公安"", ""獎勵制度"", ""福利補助"", ""勤務加成"", ""通訊設備""]","[""金吾獎"", ""警察"", ""福利"", ""勤務加成"", ""治安維護""]",正向,"[""蔣萬安"", ""招喻翔"", ""林承緯"", ""陳芊雯""]","[""臺北市政府"", ""中山分局"", ""刑事警察大隊"", ""新北市世界華人工商婦女企管協會"", ""社會局""]","[""臺北市"", ""中正區""]",活動出席,不適用,表揚,0.95,2026-06-08,市長新聞稿,臺北市政府市長新聞稿,出席金吾獎表揚優秀警察 蔣萬安：以實際行動支持同仁,public_statement,gpt-4.1-mini,2026-06-25T10:57:44
NEWS_00027,臺北市長蔣萬安市頒114學年度市長獎，勉勵畢業生保持學習熱情，勇敢追夢，回饋社會，展望未來。,蔣萬安出席市長獎頒獎典禮勉勵畢業生。,教育,"[""校園"", ""學生"", ""畢業典禮"", ""教育政策"", ""技職教育""]","[""市長獎"", ""畢業生"", ""蔣萬安"", ""航海王"", ""黃仁勳""]",正向,"[""蔣萬安"", ""黃仁勳""]","[""臺北市政府""]","[""臺北市""]",活動出席,不適用,祝賀,0.95,2026-06-07,市長新聞稿,臺北市政府市長新聞稿,出席114學年度公私立國民中學暨附設學校市長獎頒獎典禮 蔣萬安勉勵獲獎畢業生們航向偉大航道,public_statement,gpt-4.1-mini,2026-06-25T10:57:51
NEWS_00028,臺北市長蔣萬安發布教育政策白皮書2.0，提升教育預算至826億元，推動免費營養午餐、降班級人數、教師支持及技職教育創新。,臺北教育博覽會公布白皮書2.0，教育預算創新高,教育,"[""校園"", ""學生"", ""教師"", ""教育政策"", ""技職教育"", ""AI教育""]","[""教育白皮書2.0"", ""教育預算"", ""免費營養午餐"", ""教師支持"", ""技職教育""]",正向,"[""蔣萬安"", ""梅凱瑟""]","[""臺北市政府"", ""STEAM及新科技發展辦公室"", ""幼兒創新中心""]","[""臺北市"", ""貝里斯""]",政策宣布,執行中,宣布,0.95,2026-06-06,市長新聞稿,臺北市政府市長新聞稿,蔣萬安出席臺北教育博覽會 發布白皮書2.0扎根教育挹注預算創新高,public_statement,gpt-4.1-mini,2026-06-25T10:57:56
NEWS_00029,臺北市長蔣萬安化身探險隊長陪伴弱勢兒少參與公益活動，推動完善兒少照護及促進關渡恐龍公園觀光。,蔣萬安陪伴弱勢兒少探險關渡恐龍島，推動照護網。,社會福利,"[""兒少福利"", ""弱勢照顧"", ""社會救助"", ""觀光"", ""活動""]","[""弱勢兒少"", ""公益探險"", ""照護網"", ""關渡恐龍島"", ""市長活動""]",正向,"[""蔣萬安""]","[""臺北市政府社會局"", ""臺北市政府""]","[""臺北市"", ""關渡""]",活動出席,不適用,宣傳,0.95,2026-06-06,市長新聞稿,臺北市政府市長新聞稿,蔣萬安化身探險隊長陪伴弱勢兒少勇闖關渡恐龍島 持續建構完善照護網,public_statement,gpt-4.1-mini,2026-06-25T10:58:01
NEWS_00030,臺北市長蔣萬安出席2026臺北國際龍舟錦標賽並推動水岸優化，進行基隆河、大佳河濱公園及淡水河岸改造，打造親水城市。,蔣萬安出席龍舟賽推動親水城市建設,文化觀光,"[""龍舟"", ""觀光"", ""活動"", ""公園"", ""都市發展"", ""親水城市""]","[""臺北國際龍舟錦標賽"", ""親水城市"", ""水岸優化"", ""基隆河"", ""大佳河濱公園""]",正向,"[""蔣萬安"", ""梁凱雯"", ""黃仁勳""]","[""臺北市政府"", ""美國在台協會""]","[""臺北市"", ""基隆河"", ""大佳河濱公園"", ""淡水河"", ""士林商圈"", ""兒童新樂園"", ""玉泉公園"", ""大稻埕"", ""敦煌碼頭""]",活動出席,不適用,宣傳,0.95,2026-06-06,市長新聞稿,臺北市政府市長新聞稿,蔣萬安出席臺北國際龍舟錦標賽點睛大典 推動水岸優化打造親水城市,public_statement,gpt-4.1-mini,2026-06-25T10:58:05
NEWS_00031,臺北市長蔣萬安赴議會質詢，提出加強毒駕打擊、防制校園毒品、推動無菸城市、熱浪防護及無障礙環境改善等多項措施。,蔣萬安質詢強調毒駕打擊與校園毒品防制,公共安全,"[""公安"", ""工安"", ""防災"", ""校園"", ""無菸城市""]","[""毒駕"", ""新興毒品"", ""無菸城市"", ""熱浪防護"", ""無障礙環境""]",正向,"[""蔣萬安"", ""林奕華"", ""王秘書長""]","[""臺北市政府"", ""行政院"", ""衛生局"", ""新工處""]","[""臺北市"", ""南港"", ""中山堂""]",政策說明,推動中,說明,0.95,2026-06-05,市長新聞稿,臺北市政府市長新聞稿,赴議會總質詢 蔣萬安：打擊毒駕、防制新興毒品進入校園,public_statement,gpt-4.1-mini,2026-06-25T10:58:10
NEWS_00032,臺北市長蔣萬安推動2050淨零排放目標，強調府會合作減碳成果，並介紹降溫、綠運、韌性城市多項策略。,蔣萬安推動2050淨零排放與多項減碳策略。,環境永續,"[""淨零"", ""減碳"", ""永續"", ""綠能"", ""災害應變""]","[""淨零排放"", ""減碳"", ""永續轉型"", ""綠色運輸"", ""地下蓄洪""]",正向,"[""蔣萬安"", ""戴錫欽""]","[""臺北市政府"", ""臺北市議會"", ""環保局"", ""都市發展局"", ""民生水資源中心""]","[""臺北市"", ""敦北大排""]",政策說明,推動中,宣傳,0.95,2026-06-05,市長新聞稿,臺北市政府市長新聞稿,府會攜手推淨零 蔣萬安：2050達淨排放 邁向低碳未來,public_statement,gpt-4.1-mini,2026-06-25T10:58:15
NEWS_00033,市長蔣萬安報告雙城論壇交流成果，介紹小貓熊來臺及校園安全、租補經費、拖吊場管理、社宅供應等市政議題回應，強調行政優化與民眾安全保障。,雙城論壇成果及多項市政議題回應,市政管理,"[""國際交流"", ""公共安全"", ""校園"", ""租金補貼"", ""社宅"", ""捷運""]","[""雙城論壇"", ""小貓熊"", ""市政質詢"", ""校安通報"", ""社會住宅""]",中性,"[""蔣萬安""]","[""臺北市政府"", ""教育局"", ""警察局"", ""交通局""]","[""臺北市"", ""上海市"", ""北投"", ""南港""]",政策說明,推動中,說明,0.95,2026-06-04,市長新聞稿,臺北市政府市長新聞稿,臺北上海雙城論壇具體交流成果 蔣萬安：小貓熊週末抵臺,public_statement,gpt-4.1-mini,2026-06-25T10:58:19
